Measurement ID,Year,Location ID,Location,Min Temp,Max Temp,Avg Temp
2017-CA-031,2017,CA-031,Kings,52.4,78.8,65.6
2017-CA-033,2017,CA-033,Lake,46.9,70.1,58.5
2017-CA-035,2017,CA-035,Lassen,35.4,61.1,48.3
2017-CA-037,2017,CA-037,Los Angeles,52.4,75.8,64.1
2017-CA-039,2017,CA-039,Madera,45,70.6,57.8
2017-CA-041,2017,CA-041,Marin,48.7,66.3,57.5
2017-CA-043,2017,CA-043,Mariposa,44.2,69.7,57
2017-CA-045,2017,CA-045,Mendocino,45.4,67.9,56.6
2017-CA-047,2017,CA-047,Merced,51.3,76.7,64
2017-CA-049,2017,CA-049,Modoc,35.1,61.3,48.2
2017-CA-051,2017,CA-051,Mono,32,59.5,45.8
2017-CA-053,2017,CA-053,Monterey,46.6,74.3,60.4
2017-CA-055,2017,CA-055,Napa,48.3,73.4,60.8
2017-CA-057,2017,CA-057,Nevada,41.8,65.5,53.7
2017-CA-059,2017,CA-059,Orange,56.1,76.5,66.3
2017-CA-061,2017,CA-061,Placer,43.2,66.7,55
2017-CA-063,2017,CA-063,Plumas,36.2,61.2,48.7
2017-CA-065,2017,CA-065,Riverside,58.1,83.4,70.7
2017-CA-067,2017,CA-067,Sacramento,50.9,76.5,63.7
2017-CA-069,2017,CA-069,San Benito,47.8,73.5,60.7
2017-CA-071,2017,CA-071,San Bernardino,56.4,81,68.7
2017-CA-073,2017,CA-073,San Diego,52.3,78.1,65.2
2017-CA-075,2017,CA-075,San Francisco,50.6,66.5,58.5
2017-CA-077,2017,CA-077,San Joaquin,50.3,77.2,63.7
2017-CA-079,2017,CA-079,San Luis Obispo,48,75.4,61.7
2017-CA-081,2017,CA-081,San Mateo,48.9,67.8,58.4
2017-CA-083,2017,CA-083,Santa Barbara,48.5,72.8,60.7
2017-CA-085,2017,CA-085,Santa Clara,48.3,71.3,59.8
2017-CA-087,2017,CA-087,Santa Cruz,47.5,70.4,58.9
2017-CA-089,2017,CA-089,Shasta,44.1,69.1,56.6
2017-CA-091,2017,CA-091,Sierra,36.4,61,48.7
2017-CA-093,2017,CA-093,Siskiyou,38.5,61.4,50
2017-CA-095,2017,CA-095,Solano,49.8,74.5,62.1
2017-CA-097,2017,CA-097,Sonoma,47,69.9,58.5
2017-CA-099,2017,CA-099,Stanislaus,50.6,76.1,63.3
2017-CA-101,2017,CA-101,Sutter,51.6,77.5,64.6
2017-CA-103,2017,CA-103,Tehama,48.3,71.9,60.1
2017-CA-105,2017,CA-105,Trinity,41.4,65.9,53.7
2017-CA-107,2017,CA-107,Tulare,44.4,67.6,56
2017-CA-109,2017,CA-109,Tuolumne,40,63.6,51.8
2017-CA-111,2017,CA-111,Ventura,47.7,72.9,60.3
2017-CA-113,2017,CA-113,Yolo,50,76.2,63.1
2017-CA-115,2017,CA-115,Yuba,50.1,74.4,62.3
2018-CA-001,2018,CA-001,Alameda,48.9,70.7,59.8
2018-CA-003,2018,CA-003,Alpine,34.2,57.2,45.7
2018-CA-005,2018,CA-005,Amador,47.1,72.4,59.7
2018-CA-007,2018,CA-007,Butte,48,74,61
2018-CA-009,2018,CA-009,Calaveras,47,73,60
2018-CA-011,2018,CA-011,Colusa,48.9,76,62.5
2018-CA-013,2018,CA-013,Contra Costa,49.7,72.3,61
2018-CA-015,2018,CA-015,Del Norte,43.1,62.8,52.9
2018-CA-017,2018,CA-017,El Dorado,43.7,67.1,55.4
2018-CA-019,2018,CA-019,Fresno,44.6,70.1,57.4
2018-CA-021,2018,CA-021,Glenn,47.7,74.2,61
2018-CA-023,2018,CA-023,Humboldt,44.2,65.4,54.8
2018-CA-025,2018,CA-025,Imperial,62.2,88.5,75.3
2018-CA-027,2018,CA-027,Inyo,50.1,75.4,62.7
2018-CA-029,2018,CA-029,Kern,50.9,76.3,63.6
2018-CA-031,2018,CA-031,Kings,51.6,78.7,65.2
2018-CA-033,2018,CA-033,Lake,46.5,70.5,58.5
2018-CA-035,2018,CA-035,Lassen,34.3,61.8,48
2018-CA-037,2018,CA-037,Los Angeles,52,75,63.5
2018-CA-039,2018,CA-039,Madera,44.6,70.8,57.7
2018-CA-041,2018,CA-041,Marin,47.8,65.6,56.7
2018-CA-043,2018,CA-043,Mariposa,43.8,70.1,56.9
2018-CA-045,2018,CA-045,Mendocino,44.4,68.1,56.2
2018-CA-047,2018,CA-047,Merced,50.8,75.9,63.4
2018-CA-049,2018,CA-049,Modoc,34.3,61.7,48
2018-CA-051,2018,CA-051,Mono,31.9,60.3,46.1
2018-CA-053,2018,CA-053,Monterey,45.6,74.1,59.9
2018-CA-055,2018,CA-055,Napa,47.3,73.6,60.4
2018-CA-057,2018,CA-057,Nevada,41.4,66.2,53.8
2018-CA-059,2018,CA-059,Orange,56,75.6,65.8
2018-CA-061,2018,CA-061,Placer,42.7,67.4,55
2018-CA-063,2018,CA-063,Plumas,35.2,62,48.6
2018-CA-065,2018,CA-065,Riverside,57.7,82.7,70.2
2018-CA-067,2018,CA-067,Sacramento,49.3,76.4,62.9
2018-CA-069,2018,CA-069,San Benito,47.3,73.3,60.3
2018-CA-071,2018,CA-071,San Bernardino,56.3,80.5,68.4
2018-CA-073,2018,CA-073,San Diego,51.9,77.6,64.8
2018-CA-075,2018,CA-075,San Francisco,49.9,65.4,57.6
2018-CA-077,2018,CA-077,San Joaquin,49.5,77.1,63.3
2018-CA-079,2018,CA-079,San Luis Obispo,47,75.2,61.1
2018-CA-081,2018,CA-081,San Mateo,48,67.2,57.6
2018-CA-083,2018,CA-083,Santa Barbara,47.8,72.7,60.2
2018-CA-085,2018,CA-085,Santa Clara,47.9,71.1,59.5
2018-CA-087,2018,CA-087,Santa Cruz,46.4,70.4,58.4
2018-CA-089,2018,CA-089,Shasta,43.4,69.8,56.6
2018-CA-091,2018,CA-091,Sierra,35.6,61.8,48.7
2018-CA-093,2018,CA-093,Siskiyou,38.1,62.5,50.3
2018-CA-095,2018,CA-095,Solano,48.8,74.5,61.6
2018-CA-097,2018,CA-097,Sonoma,46.3,69.8,58.1
2018-CA-099,2018,CA-099,Stanislaus,50.1,75.8,62.9
2018-CA-101,2018,CA-101,Sutter,49.5,77.8,63.6
2018-CA-103,2018,CA-103,Tehama,47.6,72.4,60
2018-CA-105,2018,CA-105,Trinity,40.7,66.9,53.8
2018-CA-107,2018,CA-107,Tulare,43.9,68,55.9
2018-CA-109,2018,CA-109,Tuolumne,39.4,64.3,51.9
2018-CA-111,2018,CA-111,Ventura,47,72.1,59.5
2018-CA-113,2018,CA-113,Yolo,48.3,76.5,62.4
2018-CA-115,2018,CA-115,Yuba,49.1,74.9,62
2019-CA-001,2019,CA-001,Alameda,49.3,70,59.7
2019-CA-003,2019,CA-003,Alpine,32.5,54.4,43.5
2019-CA-005,2019,CA-005,Amador,45.9,69.6,57.8
