UniqueID,MeasurementID,AcresBurned,Latitude,Longitude,Month,Year,LocationID,Location,Rainfall,MinTemp,MaxTemp,AvgTemp
2014-5-CA-033-175,2014-CA-033,175,39.1647,-122.5983,5,2014,CA-033,Lake,48.5,47.8,72.3,60.1
2014-7-CA-033-4300,2014-CA-033,4300,38.664,-122.454,7,2014,CA-033,Lake,48.5,47.8,72.3,60.1
2014-8-CA-037-190,2014-CA-037,190,34.235,-117.771,8,2014,CA-037,Los Angeles,10.32,52.6,77,64.8
2014-1-CA-037-1952,2014-CA-037,1952,34.1703,-117.8816,1,2014,CA-037,Los Angeles,10.32,52.6,77,64.8
2014-8-CA-037-274,2014-CA-037,274,34.267,-117.867,8,2014,CA-037,Los Angeles,10.32,52.6,77,64.8
2014-9-CA-039-320,2014-CA-039,320,37.311915,-119.604124,9,2014,CA-039,Madera,13.96,46,72.6,59.3
2014-8-CA-039-612,2014-CA-039,612,37.3433,-119.6581,8,2014,CA-039,Madera,13.96,46,72.6,59.3
2014-8-CA-039-10,2014-CA-039,10,37,18.4,8,2014,CA-039,Madera,13.96,46,72.6,59.3
2014-10-CA-043-311,2014-CA-043,311,37,40.34,10,2014,CA-043,Mariposa,19.44,45.2,71.5,58.4
2014-6-CA-043-130,2014-CA-043,130,37.7103,-120.197,6,2014,CA-043,Mariposa,19.44,45.2,71.5,58.4
2014-7-CA-049-1651,2014-CA-049,1651,41.89,-120.79,7,2014,CA-049,Modoc,18.21,36.4,63,49.7
2014-8-CA-049-101,2014-CA-049,101,41.507,-121.266,8,2014,CA-049,Modoc,18.21,36.4,63,49.7
2014-7-CA-049-1469,2014-CA-049,1469,41.489,-120.904,7,2014,CA-049,Modoc,18.21,36.4,63,49.7
2014-7-CA-049-13153,2014-CA-049,13153,41.1336,-121.2144,7,2014,CA-049,Modoc,18.21,36.4,63,49.7
2014-3-CA-053-400,2014-CA-053,400,36.6313,-121.4819,3,2014,CA-053,Monterey,19.93,47.5,75.8,61.7
2014-4-CA-053-75,2014-CA-053,75,36.103,-121.117,4,2014,CA-053,Monterey,19.93,47.5,75.8,61.7
2014-7-CA-055-4300,2014-CA-055,4300,38.664,-122.454,7,2014,CA-055,Napa,33.28,49,75,62
2014-9-CA-055-27,2014-CA-055,27,38.695961,-122.384054,9,2014,CA-055,Napa,33.28,49,75,62
2014-9-CA-057-247,2014-CA-057,247,39.113682,-120.999508,9,2014,CA-057,Nevada,48.42,42.9,67.1,55
2014-8-CA-057-84,2014-CA-057,84,39.3918,-120.0805,8,2014,CA-057,Nevada,48.42,42.9,67.1,55
2014-7-CA-057-38,2014-CA-057,38,39.1871,-121.2687,7,2014,CA-057,Nevada,48.42,42.9,67.1,55
2014-9-CA-059-968,2014-CA-059,968,33.748,-117.601,9,2014,CA-059,Orange,7.63,56.6,77.3,67
2014-3-CA-065-57,2014-CA-065,57,33.5982,-116.1985,3,2014,CA-065,Riverside,5.23,57.6,83.9,70.8
2014-4-CA-071-2143,2014-CA-071,2143,34.169346,-117.547374,4,2014,CA-071,San Bernardino,4.82,56.4,81.7,69
2014-10-CA-071-48,2014-CA-071,48,33.93869,-117.70643,10,2014,CA-071,San Bernardino,4.82,56.4,81.7,69
2014-7-CA-073-217,2014-CA-073,217,33.078948,-116.576454,7,2014,CA-073,San Diego,8.07,52.8,79,65.8
2014-3-CA-073-125,2014-CA-073,125,32.81,-116.49,3,2014,CA-073,San Diego,8.07,52.8,79,65.8
2014-8-CA-073-20,2014-CA-073,20,32.59154,-116.89516,8,2014,CA-073,San Diego,8.07,52.8,79,65.8
2014-5-CA-073-600,2014-CA-073,600,33.1109,-117.279,5,2014,CA-073,San Diego,8.07,52.8,79,65.8
2014-5-CA-073-5367,2014-CA-073,5367,33.3529,-117.284889,5,2014,CA-073,San Diego,8.07,52.8,79,65.8
2014-5-CA-073-380,2014-CA-073,380,33.312,-117.162,5,2014,CA-073,San Diego,8.07,52.8,79,65.8
2014-5-CA-073-29,2014-CA-073,29,32.665,-116.222,5,2014,CA-073,San Diego,8.07,52.8,79,65.8
2014-5-CA-073-1995,2014-CA-073,1995,33.1137,-117.1599,5,2014,CA-073,San Diego,8.07,52.8,79,65.8
2014-5-CA-073-1548,2014-CA-073,1548,33.003,-117.133,5,2014,CA-073,San Diego,8.07,52.8,79,65.8
2014-5-CA-073-1457,2014-CA-073,1457,33.417572,-117.550567,5,2014,CA-073,San Diego,8.07,52.8,79,65.8
2014-7-CA-079-47,2014-CA-079,47,35.8218,-121.0226,7,2014,CA-079,San Luis Obispo,12.18,48.7,76.7,62.7
2014-5-CA-083-632,2014-CA-083,632,34.609,-120.454,5,2014,CA-083,Santa Barbara,13.21,49,74.6,61.8
2014-7-CA-089-39736,2014-CA-089,39736,40.901,-121.368,7,2014,CA-089,Shasta,44.52,45,70.8,57.9
2014-7-CA-089-143,2014-CA-089,143,40.6569,-122.2215,7,2014,CA-089,Shasta,44.52,45,70.8,57.9
2014-5-CA-089-50,2014-CA-089,50,40.39,-122.721,5,2014,CA-089,Shasta,44.52,45,70.8,57.9
2014-8-CA-089-25,2014-CA-089,25,40,29.24,8,2014,CA-089,Shasta,44.52,45,70.8,57.9
2014-9-CA-089-1375,2014-CA-089,1375,40.7101,-122.171,9,2014,CA-089,Shasta,44.52,45,70.8,57.9
2014-7-CA-089-12661,2014-CA-089,12661,40.4314,-122.750788,7,2014,CA-089,Shasta,44.52,45,70.8,57.9
2014-7-CA-089-6258,2014-CA-089,6258,41.141,-122.805,7,2014,CA-089,Shasta,44.52,45,70.8,57.9
2014-7-CA-089-75,2014-CA-089,75,40.5719,-121.3415,7,2014,CA-089,Shasta,44.52,45,70.8,57.9
2014-7-CA-089-32416,2014-CA-089,32416,40.72,-121.562,7,2014,CA-089,Shasta,44.52,45,70.8,57.9
2014-9-CA-093-516,2014-CA-093,516,41.42384,-122.37432,9,2014,CA-093,Siskiyou,36.62,39.8,63.8,51.8
2014-7-CA-093-35302,2014-CA-093,35302,42.048,-122.345,7,2014,CA-093,Siskiyou,36.62,39.8,63.8,51.8
2014-7-CA-093-5503,2014-CA-093,5503,41.682,-122.127,7,2014,CA-093,Siskiyou,36.62,39.8,63.8,51.8
2014-8-CA-093-0,2014-CA-093,0,41.796,-123.374,8,2014,CA-093,Siskiyou,36.62,39.8,63.8,51.8
2014-6-CA-095-70,2014-CA-095,70,121.999,38.453,6,2014,CA-095,Solano,22.04,51,76.1,63.5
2014-1-CA-103-865,2014-CA-103,865,40.134597,-121.790183,1,2014,CA-103,Tehama,42.34,49.3,73.6,61.5
2014-6-CA-103-225,2014-CA-103,225,40.009827,-122.345078,6,2014,CA-103,Tehama,42.34,49.3,73.6,61.5
2014-7-CA-105-15,2014-CA-105,15,40.41,-123.24,7,2014,CA-105,Trinity,55.3,42.7,68,55.4
