MeasurementID,Year,LocationID,Location,Value,MinTemp,MaxTemp,AvgTemp
2017-CA-015,2017,CA-015,Del Norte,92.56,43.4,61.5,52.4
2017-CA-017,2017,CA-017,El Dorado,73.52,44.2,66.5,55.3
2017-CA-019,2017,CA-019,Fresno,27.16,44.8,69.9,57.3
2017-CA-021,2017,CA-021,Glenn,28.56,48.6,74.1,61.4
2017-CA-023,2017,CA-023,Humboldt,76.72,44.8,64.8,54.8
2017-CA-025,2017,CA-025,Imperial,2.82,62.9,89.7,76.3
2017-CA-027,2017,CA-027,Inyo,7.68,49.9,75.3,62.6
2017-CA-029,2017,CA-029,Kern,9.68,51,76.6,63.8
2017-CA-031,2017,CA-031,Kings,8.21,52.4,78.8,65.6
2017-CA-033,2017,CA-033,Lake,56.99,46.9,70.1,58.5
2017-CA-035,2017,CA-035,Lassen,28.47,35.4,61.1,48.3
2017-CA-037,2017,CA-037,Los Angeles,13.69,52.4,75.8,64.1
2017-CA-039,2017,CA-039,Madera,29.76,45,70.6,57.8
2017-CA-041,2017,CA-041,Marin,45.85,48.7,66.3,57.5
2017-CA-043,2017,CA-043,Mariposa,41.99,44.2,69.7,57
2017-CA-045,2017,CA-045,Mendocino,61.04,45.4,67.9,56.6
2017-CA-047,2017,CA-047,Merced,13.02,51.3,76.7,64
2017-CA-049,2017,CA-049,Modoc,21.12,35.1,61.3,48.2
2017-CA-051,2017,CA-051,Mono,26.45,32,59.5,45.8
2017-CA-053,2017,CA-053,Monterey,25.02,46.6,74.3,60.4
2017-CA-055,2017,CA-055,Napa,43.3,48.3,73.4,60.8
2017-CA-057,2017,CA-057,Nevada,82.59,41.8,65.5,53.7
2017-CA-059,2017,CA-059,Orange,13.2,56.1,76.5,66.3
2017-CA-061,2017,CA-061,Placer,75.84,43.2,66.7,55
2017-CA-063,2017,CA-063,Plumas,68.34,36.2,61.2,48.7
2017-CA-065,2017,CA-065,Riverside,7.94,58.1,83.4,70.7
2017-CA-067,2017,CA-067,Sacramento,27.87,50.9,76.5,63.7
2017-CA-069,2017,CA-069,San Benito,18.11,47.8,73.5,60.7
2017-CA-071,2017,CA-071,San Bernardino,5.56,56.4,81,68.7
2017-CA-073,2017,CA-073,San Diego,12.79,52.3,78.1,65.2
2017-CA-075,2017,CA-075,San Francisco,31.59,50.6,66.5,58.5
2017-CA-077,2017,CA-077,San Joaquin,19.08,50.3,77.2,63.7
2017-CA-079,2017,CA-079,San Luis Obispo,20.89,48,75.4,61.7
2017-CA-081,2017,CA-081,San Mateo,36.79,48.9,67.8,58.4
2017-CA-083,2017,CA-083,Santa Barbara,20.52,48.5,72.8,60.7
2017-CA-085,2017,CA-085,Santa Clara,31.53,48.3,71.3,59.8
2017-CA-087,2017,CA-087,Santa Cruz,47.63,47.5,70.4,58.9
2017-CA-089,2017,CA-089,Shasta,52.95,44.1,69.1,56.6
2017-CA-091,2017,CA-091,Sierra,80.2,36.4,61,48.7
2017-CA-093,2017,CA-093,Siskiyou,43.62,38.5,61.4,50
2017-CA-095,2017,CA-095,Solano,30.57,49.8,74.5,62.1
2017-CA-097,2017,CA-097,Sonoma,52.76,47,69.9,58.5
2017-CA-099,2017,CA-099,Stanislaus,16.82,50.6,76.1,63.3
2017-CA-101,2017,CA-101,Sutter,25.41,51.6,77.5,64.6
2017-CA-103,2017,CA-103,Tehama,40.84,48.3,71.9,60.1
2017-CA-105,2017,CA-105,Trinity,67.76,41.4,65.9,53.7
2017-CA-107,2017,CA-107,Tulare,27.33,44.4,67.6,56
2017-CA-109,2017,CA-109,Tuolumne,64.58,40,63.6,51.8
2017-CA-111,2017,CA-111,Ventura,20.91,47.7,72.9,60.3
2017-CA-113,2017,CA-113,Yolo,30.74,50,76.2,63.1
2017-CA-115,2017,CA-115,Yuba,55.01,50.1,74.4,62.3
2018-CA-001,2018,CA-001,Alameda,16.57,48.9,70.7,59.8
2018-CA-003,2018,CA-003,Alpine,32.2,34.2,57.2,45.7
2018-CA-005,2018,CA-005,Amador,34.04,47.1,72.4,59.7
2018-CA-007,2018,CA-007,Butte,34.51,48,74,61
2018-CA-009,2018,CA-009,Calaveras,32.63,47,73,60
2018-CA-011,2018,CA-011,Colusa,18.08,48.9,76,62.5
2018-CA-013,2018,CA-013,Contra Costa,17.52,49.7,72.3,61
2018-CA-015,2018,CA-015,Del Norte,54.46,43.1,62.8,52.9
2018-CA-017,2018,CA-017,El Dorado,40.29,43.7,67.1,55.4
2018-CA-019,2018,CA-019,Fresno,16.87,44.6,70.1,57.4
2018-CA-021,2018,CA-021,Glenn,18.95,47.7,74.2,61
2018-CA-023,2018,CA-023,Humboldt,48.62,44.2,65.4,54.8
2018-CA-025,2018,CA-025,Imperial,2.07,62.2,88.5,75.3
2018-CA-027,2018,CA-027,Inyo,4.52,50.1,75.4,62.7
2018-CA-029,2018,CA-029,Kern,7.03,50.9,76.3,63.6
2018-CA-031,2018,CA-031,Kings,5.61,51.6,78.7,65.2
2018-CA-033,2018,CA-033,Lake,34.37,46.5,70.5,58.5
2018-CA-035,2018,CA-035,Lassen,18.88,34.3,61.8,48
2018-CA-037,2018,CA-037,Los Angeles,10.79,52,75,63.5
2018-CA-039,2018,CA-039,Madera,20.72,44.6,70.8,57.7
2018-CA-041,2018,CA-041,Marin,30.49,47.8,65.6,56.7
2018-CA-043,2018,CA-043,Mariposa,30.17,43.8,70.1,56.9
2018-CA-045,2018,CA-045,Mendocino,41.72,44.4,68.1,56.2
2018-CA-047,2018,CA-047,Merced,10.5,50.8,75.9,63.4
2018-CA-049,2018,CA-049,Modoc,17.29,34.3,61.7,48
2018-CA-051,2018,CA-051,Mono,14.08,31.9,60.3,46.1
2018-CA-053,2018,CA-053,Monterey,19.21,45.6,74.1,59.9
2018-CA-055,2018,CA-055,Napa,24.56,47.3,73.6,60.4
2018-CA-057,2018,CA-057,Nevada,45.36,41.4,66.2,53.8
2018-CA-059,2018,CA-059,Orange,8.79,56,75.6,65.8
2018-CA-061,2018,CA-061,Placer,42.42,42.7,67.4,55
2018-CA-063,2018,CA-063,Plumas,35.36,35.2,62,48.6
2018-CA-065,2018,CA-065,Riverside,5.82,57.7,82.7,70.2
2018-CA-067,2018,CA-067,Sacramento,18.95,49.3,76.4,62.9
2018-CA-069,2018,CA-069,San Benito,15.78,47.3,73.3,60.3
2018-CA-071,2018,CA-071,San Bernardino,5.11,56.3,80.5,68.4
2018-CA-073,2018,CA-073,San Diego,9.69,51.9,77.6,64.8
2018-CA-075,2018,CA-075,San Francisco,22.51,49.9,65.4,57.6
2018-CA-077,2018,CA-077,San Joaquin,14.35,49.5,77.1,63.3
2018-CA-079,2018,CA-079,San Luis Obispo,14.4,47,75.2,61.1
